Username,Rating,Total Problems Solved,Badges
sowjanyakodam,N/A,176,50 Days Badge 2024
Veekshana,1412.278,132,"50 Days Badge 2024, Nov LeetCoding Challenge"
Pavan1729,N/A,128,50 Days Badge 2024
Aravind_kammari,1339.408,418,"200 Days Badge 2024, 100 Days Badge 2024, 50 Days Badge 2024"
bharathganeshn,N/A,143,50 Days Badge 2024
vigneshwar_banda,N/A,89,No badges
Sathwika_Gundu,N/A,173,50 Days Badge 2024
Gollashivanii,N/A,94,No badges
himateja,N/A,9,No badges
bkiransree,1510.757,78,No badges
Bagga_10,N/A,83,No badges
code-arya,N/A,313,"200 Days Badge 2024, 100 Days Badge 2024, 50 Days Badge 2024, Nov LeetCoding Challenge, Oct LeetCoding Challenge, Sep LeetCoding Challenge, Aug LeetCoding Challenge, Jul LeetCoding Challenge"
Unabashedfall,N/A,84,No badges
sudhindra0265,1453.0149126147348,351,"100 Days Badge 2024, 50 Days Badge 2024, Sep LeetCoding Challenge, Aug LeetCoding Challenge, Jul LeetCoding Challenge"
abhiram_neelam,N/A,33,No badges
archith_reddy_0,N/A,46,No badges
vutla_nischitha,N/A,114,No badges
Prudhviraj_chowhan-korra,1353.47,48,No badges
ShaikFarahana,N/A,100,No badges
tippisrikar2005,N/A,118,No badges
dany4950,N/A,91,No badges
Tharun__goud,N/A,110,No badges
PerumallaJeevan_20,N/A,57,No badges
kranthikumar04,N/A,69,No badges
ruthwikredddy,N/A,64,No badges
priyagillforleetcode,N/A,37,No badges
AbhishekvincentyadavAbhishekvincentya,N/A,0,No badges
Sathwik_N,N/A,68,No badges
saiv14076,N/A,292,"50 Days Badge 2024, Nov LeetCoding Challenge, Oct LeetCoding Challenge"
yagneshreddykoramoni,1399.6887098822544,387,50 Days Badge 2024
sheruravichandra,N/A,67,No badges
chakri_o9,N/A,54,No badges
nehareddy05,N/A,233,No badges
ankith_16,N/A,73,No badges
Anudeep_70,N/A,78,No badges
Varun_5,N/A,71,No badges
p_Akhila,N/A,49,No badges
ashritha_nm,N/A,38,No badges
Sathvik_05,N/A,54,No badges
SAINIKITHA_REDDY,N/A,175,No badges
bhavani_08,1421.584,146,No badges
GreeshmaKattumulla,N/A,82,No badges
Akshaya_Sadhu,N/A,101,No badges
chandrikabarripati,N/A,194,"50 Days Badge 2024, Nov LeetCoding Challenge, Oct LeetCoding Challenge, Top SQL 50"
jahnavi3045,1334.317912508131,79,No badges
22951A6728,1507.955,209,50 Days Badge 2024
Abhishekvincentyadav,N/A,66,No badges
Deepanvi_Ponnuri,N/A,21,No badges
rocJUx1uI4,N/A,88,No badges
3ssJ9sm9aL,N/A,55,No badges
kandaraboinachandana,N/A,99,No badges
Rishiyogitha,N/A,87,50 Days Badge 2024
kanak_2911,N/A,45,No badges
padmapriya_0423,N/A,44,No badges
bsv karthik,N/A,0,No badges
MOHAMMAD SHAHEED,N/A,0,No badges
jayakrishna13,N/A,56,No badges
k_somesh_,N/A,232,"100 Days Badge 2024, 50 Days Badge 2024, Jun LeetCoding Challenge"
Veekshana,1412.278,132,"50 Days Badge 2024, Nov LeetCoding Challenge"
Soma_Vaishnavi,1425.907,96,No badges
Poonam Suthar,N/A,0,No badges
Navaneeth_Kumar,N/A,120,No badges
kishorzzzz,1709.019,225,"50 Days Badge 2024, Nov LeetCoding Challenge"
Gyana_Prasanna,N/A,64,No badges
vanam-abhinav,N/A,24,No badges
gajulabharath,1522.693848016036,222,"100 Days Badge 2024, 50 Days Badge 2024, Aug LeetCoding Challenge, Jul LeetCoding Challenge"
T_Ashish,1447.198,174,50 Days Badge 2024
bhanutej13,1405.8725032207306,177,"50 Days Badge 2024, Introduction to Pandas"
lav13anya_a,N/A,54,No badges
Rithika_tirunagari,N/A,188,No badges
Nagapraneetha,N/A,112,No badges
Madhavimarka,N/A,59,No badges
mustaqeem_ali,N/A,72,No badges
Babbula_SriVyshnavi,N/A,32,No badges
Rishi_1603,N/A,37,No badges
nirmal7463,1504.636,395,"100 Days Badge 2024, 50 Days Badge 2024"
22951A6782,N/A,248,50 Days Badge 2024
Anusha_Puram,N/A,97,No badges
KamalNayanDasari,N/A,56,No badges
Renuka_2295,N/A,89,No badges
Sowjanya_Nuthanganti,N/A,97,No badges
Vish4l_420,N/A,96,No badges
JUKANTI_SOWMYA,N/A,78,No badges
Akhila_Maku,N/A,39,No badges
bhuvana14,N/A,0,No badges
PujithEswarAy,N/A,43,No badges
ellenduladheeraj8780,N/A,72,No badges
ArchanaDas_13,N/A,94,No badges
muni_kumar19,N/A,44,No badges
saisricharan2005,N/A,55,No badges
dilip810,N/A,42,No badges
Ramya_0704,N/A,172,"50 Days Badge 2024, Nov LeetCoding Challenge, Oct LeetCoding Challenge"
NihanthBhargav,N/A,79,No badges
PRAGVAMSH,N/A,164,50 Days Badge 2024
mandrekar_jithender,N/A,17,No badges
rameez199,N/A,0,No badges
22951A6776,1598.2610802901418,226,"50 Days Badge 2024, Introduction to Pandas"
ManiGaneshwar,N/A,0,No badges
,N/A,0,No badges
,N/A,0,No badges
